"ISO3","Countries","Year","MeasurementType","Value"
"AFG","Afghanistan","2009","Estimate",NA
"ALB","Albania","2009","Estimate",NA
"DZA","Algeria","2009","Estimate",NA
"AGO","Angola","2009","Estimate",NA
"AIA","Anguilla","2009","Estimate",NA
"ATG","Antigua and Barbuda","2009","Estimate",NA
"ARG","Argentina","2009","Estimate",NA
"ARM","Armenia","2009","Estimate",NA
"AUS","Australia","2009","Estimate",NA
"AUT","Austria","2009","Estimate",NA
"AZE","Azerbaijan","2009","Estimate",0.26
"BHS","Bahamas","2009","Estimate",NA
"BHR","Bahrain","2009","Estimate",NA
"BGD","Bangladesh","2009","Estimate",NA
"BRB","Barbados","2009","Estimate",NA
"BLR","Belarus","2009","Estimate",0.95
"BEL","Belgium","2009","Estimate",NA
"BLZ","Belize","2009","Estimate",0.77
"BEN","Benin","2009","Estimate",NA
"BTN","Bhutan","2009","Estimate",NA
"BOL","Bolivia (Plurinational State of)","2009","Estimate",0.07
"BIH","Bosnia and Herzegovina","2009","Estimate",NA
"BWA","Botswana","2009","Estimate",NA
"BRA","Brazil","2009","Estimate",0.25
"BRN","Brunei Darussalam","2009","Estimate",NA
"BGR","Bulgaria","2009","Estimate",NA
"BFA","Burkina Faso","2009","Estimate",0.03
"BDI","Burundi","2009","Estimate",NA
"CPV","Cabo Verde","2009","Estimate",0.95
"KHM","Cambodia","2009","Estimate",NA
"CMR","Cameroon","2009","Estimate",0.27
"CAN","Canada","2009","Estimate",NA
"CAF","Central African Republic","2009","Estimate",0.01
"TCD","Chad","2009","Estimate",NA
"CHL","Chile","2009","Estimate",NA
"CHN","China","2009","Estimate",NA
"COL","Colombia","2009","Estimate",0.05
"COM","Comoros","2009","Estimate",NA
"COG","Congo","2009","Estimate",0.08
"COK","Cook Islands","2009","Estimate",NA
"CRI","Costa Rica","2009","Estimate",0.92
"CIV","C̫te d'Ivoire","2009","Estimate",NA
"HRV","Croatia","2009","Estimate",NA
"CUB","Cuba","2009","Estimate",0.83
"CYP","Cyprus","2009","Estimate",NA
"CZE","Czech Republic","2009","Estimate",NA
"KOR","Democratic People's Republic of Korea","2009","Estimate",NA
"COD","Democratic Republic of the Congo","2009","Estimate",NA
"DNK","Denmark","2009","Estimate",NA
"DJI","Djibouti","2009","Estimate",NA
"DMA","Dominica","2009","Estimate",NA
"DOM","Dominican Republic","2009","Estimate",0.28
"ECU","Ecuador","2009","Estimate",0.01
"EGY","Egypt","2009","Estimate",0.04
"SLV","El Salvador","2009","Estimate",NA
"GNQ","Equatorial Guinea","2009","Estimate",NA
"ERI","Eritrea","2009","Estimate",NA
"EST","Estonia","2009","Estimate",NA
"ETH","Ethiopia","2009","Estimate",0.04
"FJI","Fiji","2009","Estimate",NA
"FIN","Finland","2009","Estimate",NA
"FRA","France","2009","Estimate",NA
"GAB","Gabon","2009","Estimate",NA
"GMB","Gambia","2009","Estimate",NA
"GEO","Georgia","2009","Estimate",0.61
"DEU","Germany","2009","Estimate",NA
"GHA","Ghana","2009","Estimate",NA
"GRC","Greece","2009","Estimate",NA
"GRD","Grenada","2009","Estimate",NA
"GTM","Guatemala","2009","Estimate",NA
"GIN","Guinea","2009","Estimate",NA
"GNB","Guinea-Bissau","2009","Estimate",NA
"GUY","Guyana","2009","Estimate",NA
"HTI","Haiti","2009","Estimate",NA
"HND","Honduras","2009","Estimate",0.61
"HUN","Hungary","2009","Estimate",NA
"ISL","Iceland","2009","Estimate",NA
"IND","India","2009","Estimate",NA
"IDN","Indonesia","2009","Estimate",NA
"IRN","Iran (Islamic Republic of)","2009","Estimate",0.02
"IRQ","Iraq","2009","Estimate",NA
"IRL","Ireland","2009","Estimate",NA
"ISR","Israel","2009","Estimate",NA
"ITA","Italy","2009","Estimate",NA
"JAM","Jamaica","2009","Estimate",NA
"JPN","Japan","2009","Estimate",NA
"JOR","Jordan","2009","Estimate",NA
"KAZ","Kazakhstan","2009","Estimate",0.95
"KEN","Kenya","2009","Estimate",NA
"KIR","Kiribati","2009","Estimate",NA
"UNK","Kosovo","2009","Estimate",NA
"KGZ","Kyrgyzstan","2009","Estimate",NA
"LAO","Lao People's Democratic Republic","2009","Estimate",NA
"LVA","Latvia","2009","Estimate",NA
"LBN","Lebanon","2009","Estimate",NA
"LSO","Lesotho","2009","Estimate",0.43
"LBR","Liberia","2009","Estimate",0.05
"LBY","Libya","2009","Estimate",NA
"LTU","Lithuania","2009","Estimate",NA
"LUX","Luxembourg","2009","Estimate",NA
"MDG","Madagascar","2009","Estimate",NA
"MWI","Malawi","2009","Estimate",NA
"MYS","Malaysia","2009","Estimate",0.37
"MDV","Maldives","2009","Estimate",NA
"MLI","Mali","2009","Estimate",0.08
"MLT","Malta","2009","Estimate",NA
"MHL","Marshall Islands","2009","Estimate",NA
"MRT","Mauritania","2009","Estimate",NA
"MUS","Mauritius","2009","Estimate",NA
"MEX","Mexico","2009","Estimate",NA
"FSM","Micronesia (Federated States of)","2009","Estimate",NA
"MNG","Mongolia","2009","Estimate",NA
"MNE","Montenegro","2009","Estimate",NA
"MAR","Morocco","2009","Estimate",0.02
"MOZ","Mozambique","2009","Estimate",NA
"MMR","Myanmar","2009","Estimate",NA
"NAM","Namibia","2009","Estimate",NA
"NRU","Nauru","2009","Estimate",NA
"NPL","Nepal","2009","Estimate",0.02
"NLD","Netherlands","2009","Estimate",NA
"NZL","New Zealand","2009","Estimate",NA
"NIC","Nicaragua","2009","Estimate",0.5
"NER","Niger","2009","Estimate",NA
"NGA","Nigeria","2009","Estimate",0.04
"NIU","Niue","2009","Estimate",NA
"NOR","Norway","2009","Estimate",NA
"OMN","Oman","2009","Estimate",NA
"PAK","Pakistan","2009","Estimate",0.01
"PLW","Palau","2009","Estimate",NA
"PSE","State of Palestine","2009","Estimate",NA
"PAN","Panama","2009","Estimate",NA
"PNG","Papua New Guinea","2009","Estimate",NA
"PRY","Paraguay","2009","Estimate",NA
"PER","Peru","2009","Estimate",NA
"PHL","Philippines","2009","Estimate",0.01
"POL","Poland","2009","Estimate",NA
"PRT","Portugal","2009","Estimate",NA
"PRK","Republic of Korea","2009","Estimate",NA
"MDA","Republic of Moldova","2009","Estimate",0.95
"ROU","Romania","2009","Estimate",NA
"RUS","Russian Federation","2009","Estimate",NA
"RWA","Rwanda","2009","Estimate",0.58
"KNA","Saint Kitts and Nevis","2009","Estimate",NA
"LCA","Saint Lucia","2009","Estimate",NA
"VCT","Saint Vincent and the Grenadines","2009","Estimate",NA
"WSM","Samoa","2009","Estimate",NA
"STP","Sao Tome and Principe","2009","Estimate",NA
"SAU","Saudi Arabia","2009","Estimate",NA
"SEN","Senegal","2009","Estimate",0.11
"SRB","Serbia","2009","Estimate",NA
"SYC","Seychelles","2009","Estimate",NA
"SLE","Sierra Leone","2009","Estimate",NA
"SGP","Singapore","2009","Estimate",NA
"SVK","Slovakia","2009","Estimate",NA
"SVN","Slovenia","2009","Estimate",NA
"SLB","Solomon Islands","2009","Estimate",NA
"SOM","Somalia","2009","Estimate",NA
"ZAF","South Africa","2009","Estimate",NA
"SSD","South Sudan","2009","Estimate",NA
"ESP","Spain","2009","Estimate",NA
"LKA","Sri Lanka","2009","Estimate",NA
"SDN","Sudan","2009","Estimate",NA
"SUR","Suriname","2009","Estimate",0.09
"SWZ","Eswatini","2009","Estimate",NA
"SWE","Sweden","2009","Estimate",NA
"CHE","Switzerland","2009","Estimate",NA
"SYR","Syrian Arab Republic","2009","Estimate",NA
"TJK","Tajikistan","2009","Estimate",0.01
"THA","Thailand","2009","Estimate",NA
"MKD","The former Yugoslav Republic of Macedonia","2009","Estimate",NA
"TLS","Timor-Leste","2009","Estimate",NA
"TGO","Togo","2009","Estimate",0.07
"TON","Tonga","2009","Estimate",NA
"TTO","Trinidad and Tobago","2009","Estimate",NA
"TUN","Tunisia","2009","Estimate",NA
"TUR","Turkey","2009","Estimate",NA
"TKM","Turkmenistan","2009","Estimate",NA
"TUV","Tuvalu","2009","Estimate",NA
"UGA","Uganda","2009","Estimate",0.08
"UKR","Ukraine","2009","Estimate",0.78
"ARE","United Arab Emirates","2009","Estimate",NA
"GBR","United Kingdom","2009","Estimate",NA
"TZA","United Republic of Tanzania","2009","Estimate",0.13
"USA","United States","2009","Estimate",NA
"URY","Uruguay","2009","Estimate",NA
"UZB","Uzbekistan","2009","Estimate",0
"VUT","Vanuatu","2009","Estimate",NA
"VEN","Venezuela (Bolivarian Republic of)","2009","Estimate",NA
"VNM","Viet Nam","2009","Estimate",NA
"YEM","Yemen","2009","Estimate",NA
"ZMB","Zambia","2009","Estimate",0.59
"ZWE","Zimbabwe","2009","Estimate",NA
"AFG","Afghanistan","2009","UpperBound",NA
"ALB","Albania","2009","UpperBound",NA
"DZA","Algeria","2009","UpperBound",NA
"AGO","Angola","2009","UpperBound",NA
"AIA","Anguilla","2009","UpperBound",NA
"ATG","Antigua and Barbuda","2009","UpperBound",NA
"ARG","Argentina","2009","UpperBound",NA
"ARM","Armenia","2009","UpperBound",NA
"AUS","Australia","2009","UpperBound",NA
"AUT","Austria","2009","UpperBound",NA
"AZE","Azerbaijan","2009","UpperBound",0.35
"BHS","Bahamas","2009","UpperBound",NA
"BHR","Bahrain","2009","UpperBound",NA
"BGD","Bangladesh","2009","UpperBound",NA
"BRB","Barbados","2009","UpperBound",NA
"BLR","Belarus","2009","UpperBound",0.95
"BEL","Belgium","2009","UpperBound",NA
"BLZ","Belize","2009","UpperBound",0.89
"BEN","Benin","2009","UpperBound",NA
"BTN","Bhutan","2009","UpperBound",NA
"BOL","Bolivia (Plurinational State of)","2009","UpperBound",0.1
"BIH","Bosnia and Herzegovina","2009","UpperBound",NA
"BWA","Botswana","2009","UpperBound",NA
"BRA","Brazil","2009","UpperBound",0.35
"BRN","Brunei Darussalam","2009","UpperBound",NA
"BGR","Bulgaria","2009","UpperBound",NA
"BFA","Burkina Faso","2009","UpperBound",0.05
"BDI","Burundi","2009","UpperBound",NA
"CPV","Cabo Verde","2009","UpperBound",0.95
"KHM","Cambodia","2009","UpperBound",NA
"CMR","Cameroon","2009","UpperBound",0.36
"CAN","Canada","2009","UpperBound",NA
"CAF","Central African Republic","2009","UpperBound",0.01
"TCD","Chad","2009","UpperBound",NA
"CHL","Chile","2009","UpperBound",NA
"CHN","China","2009","UpperBound",NA
"COL","Colombia","2009","UpperBound",0.06
"COM","Comoros","2009","UpperBound",NA
"COG","Congo","2009","UpperBound",0.12
"COK","Cook Islands","2009","UpperBound",NA
"CRI","Costa Rica","2009","UpperBound",0.95
"CIV","C̫te d'Ivoire","2009","UpperBound",NA
"HRV","Croatia","2009","UpperBound",NA
"CUB","Cuba","2009","UpperBound",0.95
"CYP","Cyprus","2009","UpperBound",NA
"CZE","Czech Republic","2009","UpperBound",NA
"KOR","Democratic People's Republic of Korea","2009","UpperBound",NA
"COD","Democratic Republic of the Congo","2009","UpperBound",NA
"DNK","Denmark","2009","UpperBound",NA
"DJI","Djibouti","2009","UpperBound",NA
"DMA","Dominica","2009","UpperBound",NA
"DOM","Dominican Republic","2009","UpperBound",0.36
"ECU","Ecuador","2009","UpperBound",0.01
"EGY","Egypt","2009","UpperBound",0.04
"SLV","El Salvador","2009","UpperBound",NA
"GNQ","Equatorial Guinea","2009","UpperBound",NA
"ERI","Eritrea","2009","UpperBound",NA
"EST","Estonia","2009","UpperBound",NA
"ETH","Ethiopia","2009","UpperBound",0.06
"FJI","Fiji","2009","UpperBound",NA
"FIN","Finland","2009","UpperBound",NA
"FRA","France","2009","UpperBound",NA
"GAB","Gabon","2009","UpperBound",NA
"GMB","Gambia","2009","UpperBound",NA
"GEO","Georgia","2009","UpperBound",0.77
"DEU","Germany","2009","UpperBound",NA
"GHA","Ghana","2009","UpperBound",NA
"GRC","Greece","2009","UpperBound",NA
"GRD","Grenada","2009","UpperBound",NA
"GTM","Guatemala","2009","UpperBound",NA
"GIN","Guinea","2009","UpperBound",NA
"GNB","Guinea-Bissau","2009","UpperBound",NA
"GUY","Guyana","2009","UpperBound",NA
"HTI","Haiti","2009","UpperBound",NA
"HND","Honduras","2009","UpperBound",0.74
"HUN","Hungary","2009","UpperBound",NA
"ISL","Iceland","2009","UpperBound",NA
"IND","India","2009","UpperBound",NA
"IDN","Indonesia","2009","UpperBound",NA
"IRN","Iran (Islamic Republic of)","2009","UpperBound",0.02
"IRQ","Iraq","2009","UpperBound",NA
"IRL","Ireland","2009","UpperBound",NA
"ISR","Israel","2009","UpperBound",NA
"ITA","Italy","2009","UpperBound",NA
"JAM","Jamaica","2009","UpperBound",NA
"JPN","Japan","2009","UpperBound",NA
"JOR","Jordan","2009","UpperBound",NA
"KAZ","Kazakhstan","2009","UpperBound",0.95
"KEN","Kenya","2009","UpperBound",NA
"KIR","Kiribati","2009","UpperBound",NA
"UNK","Kosovo","2009","UpperBound",NA
"KGZ","Kyrgyzstan","2009","UpperBound",NA
"LAO","Lao People's Democratic Republic","2009","UpperBound",NA
"LVA","Latvia","2009","UpperBound",NA
"LBN","Lebanon","2009","UpperBound",NA
"LSO","Lesotho","2009","UpperBound",0.53
"LBR","Liberia","2009","UpperBound",0.07
"LBY","Libya","2009","UpperBound",NA
"LTU","Lithuania","2009","UpperBound",NA
"LUX","Luxembourg","2009","UpperBound",NA
"MDG","Madagascar","2009","UpperBound",NA
"MWI","Malawi","2009","UpperBound",NA
"MYS","Malaysia","2009","UpperBound",0.44
"MDV","Maldives","2009","UpperBound",NA
"MLI","Mali","2009","UpperBound",0.09
"MLT","Malta","2009","UpperBound",NA
"MHL","Marshall Islands","2009","UpperBound",NA
"MRT","Mauritania","2009","UpperBound",NA
"MUS","Mauritius","2009","UpperBound",NA
"MEX","Mexico","2009","UpperBound",NA
"FSM","Micronesia (Federated States of)","2009","UpperBound",NA
"MNG","Mongolia","2009","UpperBound",NA
"MNE","Montenegro","2009","UpperBound",NA
"MAR","Morocco","2009","UpperBound",0.02
"MOZ","Mozambique","2009","UpperBound",NA
"MMR","Myanmar","2009","UpperBound",NA
"NAM","Namibia","2009","UpperBound",NA
"NRU","Nauru","2009","UpperBound",NA
"NPL","Nepal","2009","UpperBound",0.02
"NLD","Netherlands","2009","UpperBound",NA
"NZL","New Zealand","2009","UpperBound",NA
"NIC","Nicaragua","2009","UpperBound",0.69
"NER","Niger","2009","UpperBound",NA
"NGA","Nigeria","2009","UpperBound",0.07
"NIU","Niue","2009","UpperBound",NA
"NOR","Norway","2009","UpperBound",NA
"OMN","Oman","2009","UpperBound",NA
"PAK","Pakistan","2009","UpperBound",0.01
"PLW","Palau","2009","UpperBound",NA
"PSE","State of Palestine","2009","UpperBound",NA
"PAN","Panama","2009","UpperBound",NA
"PNG","Papua New Guinea","2009","UpperBound",NA
"PRY","Paraguay","2009","UpperBound",NA
"PER","Peru","2009","UpperBound",NA
"PHL","Philippines","2009","UpperBound",0.01
"POL","Poland","2009","UpperBound",NA
"PRT","Portugal","2009","UpperBound",NA
"PRK","Republic of Korea","2009","UpperBound",NA
"MDA","Republic of Moldova","2009","UpperBound",0.95
"ROU","Romania","2009","UpperBound",NA
"RUS","Russian Federation","2009","UpperBound",NA
"RWA","Rwanda","2009","UpperBound",0.75
"KNA","Saint Kitts and Nevis","2009","UpperBound",NA
"LCA","Saint Lucia","2009","UpperBound",NA
"VCT","Saint Vincent and the Grenadines","2009","UpperBound",NA
"WSM","Samoa","2009","UpperBound",NA
"STP","Sao Tome and Principe","2009","UpperBound",NA
"SAU","Saudi Arabia","2009","UpperBound",NA
"SEN","Senegal","2009","UpperBound",0.13
"SRB","Serbia","2009","UpperBound",NA
"SYC","Seychelles","2009","UpperBound",NA
"SLE","Sierra Leone","2009","UpperBound",NA
"SGP","Singapore","2009","UpperBound",NA
"SVK","Slovakia","2009","UpperBound",NA
"SVN","Slovenia","2009","UpperBound",NA
"SLB","Solomon Islands","2009","UpperBound",NA
"SOM","Somalia","2009","UpperBound",NA
"ZAF","South Africa","2009","UpperBound",NA
"SSD","South Sudan","2009","UpperBound",NA
"ESP","Spain","2009","UpperBound",NA
"LKA","Sri Lanka","2009","UpperBound",NA
"SDN","Sudan","2009","UpperBound",NA
"SUR","Suriname","2009","UpperBound",0.11
"SWZ","Eswatini","2009","UpperBound",NA
"SWE","Sweden","2009","UpperBound",NA
"CHE","Switzerland","2009","UpperBound",NA
"SYR","Syrian Arab Republic","2009","UpperBound",NA
"TJK","Tajikistan","2009","UpperBound",0.01
"THA","Thailand","2009","UpperBound",NA
"MKD","The former Yugoslav Republic of Macedonia","2009","UpperBound",NA
"TLS","Timor-Leste","2009","UpperBound",NA
"TGO","Togo","2009","UpperBound",0.12
"TON","Tonga","2009","UpperBound",NA
"TTO","Trinidad and Tobago","2009","UpperBound",NA
"TUN","Tunisia","2009","UpperBound",NA
"TUR","Turkey","2009","UpperBound",NA
"TKM","Turkmenistan","2009","UpperBound",NA
"TUV","Tuvalu","2009","UpperBound",NA
"UGA","Uganda","2009","UpperBound",0.09
"UKR","Ukraine","2009","UpperBound",0.95
"ARE","United Arab Emirates","2009","UpperBound",NA
"GBR","United Kingdom","2009","UpperBound",NA
"TZA","United Republic of Tanzania","2009","UpperBound",0.16
"USA","United States","2009","UpperBound",NA
"URY","Uruguay","2009","UpperBound",NA
"UZB","Uzbekistan","2009","UpperBound",0.01
"VUT","Vanuatu","2009","UpperBound",NA
"VEN","Venezuela (Bolivarian Republic of)","2009","UpperBound",NA
"VNM","Viet Nam","2009","UpperBound",NA
"YEM","Yemen","2009","UpperBound",NA
"ZMB","Zambia","2009","UpperBound",0.7
"ZWE","Zimbabwe","2009","UpperBound",NA
"AFG","Afghanistan","2009","LowerBound",NA
"ALB","Albania","2009","LowerBound",NA
"DZA","Algeria","2009","LowerBound",NA
