"ISO3","Countries","Year","MeasurementType","Value"
"ARG","Argentina","2010","UpperBound",NA
"ARM","Armenia","2010","UpperBound",NA
"AUS","Australia","2010","UpperBound",NA
"AUT","Austria","2010","UpperBound",NA
"AZE","Azerbaijan","2010","UpperBound",0.31
"BHS","Bahamas","2010","UpperBound",NA
"BHR","Bahrain","2010","UpperBound",NA
"BGD","Bangladesh","2010","UpperBound",0.03
"BRB","Barbados","2010","UpperBound",NA
"BLR","Belarus","2010","UpperBound",0.95
"BEL","Belgium","2010","UpperBound",NA
"BLZ","Belize","2010","UpperBound",0.88
"BEN","Benin","2010","UpperBound",NA
"BTN","Bhutan","2010","UpperBound",NA
"BOL","Bolivia (Plurinational State of)","2010","UpperBound",0.67
"BIH","Bosnia and Herzegovina","2010","UpperBound",NA
"BWA","Botswana","2010","UpperBound",0.62
"BRA","Brazil","2010","UpperBound",0.35
"BRN","Brunei Darussalam","2010","UpperBound",NA
"BGR","Bulgaria","2010","UpperBound",NA
"BFA","Burkina Faso","2010","UpperBound",0.14
"BDI","Burundi","2010","UpperBound",0.15
"CPV","Cabo Verde","2010","UpperBound",0.95
"KHM","Cambodia","2010","UpperBound",0.54
"CMR","Cameroon","2010","UpperBound",0.26
"CAN","Canada","2010","UpperBound",NA
"CAF","Central African Republic","2010","UpperBound",0.01
"TCD","Chad","2010","UpperBound",0.04
"CHL","Chile","2010","UpperBound",NA
"CHN","China","2010","UpperBound",NA
"COL","Colombia","2010","UpperBound",0.12
"COM","Comoros","2010","UpperBound",NA
"COG","Congo","2010","UpperBound",0.1
"COK","Cook Islands","2010","UpperBound",NA
"CRI","Costa Rica","2010","UpperBound",0.78
"CIV","C̫te d'Ivoire","2010","UpperBound",0.34
"HRV","Croatia","2010","UpperBound",NA
"CUB","Cuba","2010","UpperBound",0.95
"CYP","Cyprus","2010","UpperBound",NA
"CZE","Czech Republic","2010","UpperBound",NA
"KOR","Democratic People's Republic of Korea","2010","UpperBound",NA
"COD","Democratic Republic of the Congo","2010","UpperBound",0.04
"DNK","Denmark","2010","UpperBound",NA
"DJI","Djibouti","2010","UpperBound",NA
"DMA","Dominica","2010","UpperBound",NA
"DOM","Dominican Republic","2010","UpperBound",0.13
"ECU","Ecuador","2010","UpperBound",0.01
"EGY","Egypt","2010","UpperBound",0.05
"SLV","El Salvador","2010","UpperBound",0.32
"GNQ","Equatorial Guinea","2010","UpperBound",NA
"ERI","Eritrea","2010","UpperBound",NA
"EST","Estonia","2010","UpperBound",NA
"ETH","Ethiopia","2010","UpperBound",0.61
"FJI","Fiji","2010","UpperBound",NA
"FIN","Finland","2010","UpperBound",NA
"FRA","France","2010","UpperBound",NA
"GAB","Gabon","2010","UpperBound",0.08
"GMB","Gambia","2010","UpperBound",NA
"GEO","Georgia","2010","UpperBound",0.95
"DEU","Germany","2010","UpperBound",NA
"GHA","Ghana","2010","UpperBound",0.01
"GRC","Greece","2010","UpperBound",NA
"GRD","Grenada","2010","UpperBound",NA
"GTM","Guatemala","2010","UpperBound",NA
"GIN","Guinea","2010","UpperBound",0.06
"GNB","Guinea-Bissau","2010","UpperBound",NA
"GUY","Guyana","2010","UpperBound",0.3
"HTI","Haiti","2010","UpperBound",NA
"HND","Honduras","2010","UpperBound",0.86
"HUN","Hungary","2010","UpperBound",NA
"ISL","Iceland","2010","UpperBound",NA
"IND","India","2010","UpperBound",0.09
"IDN","Indonesia","2010","UpperBound",NA
"IRN","Iran (Islamic Republic of)","2010","UpperBound",0.18
"IRQ","Iraq","2010","UpperBound",NA
"IRL","Ireland","2010","UpperBound",NA
"ISR","Israel","2010","UpperBound",NA
"ITA","Italy","2010","UpperBound",NA
"JAM","Jamaica","2010","UpperBound",NA
"JPN","Japan","2010","UpperBound",NA
"JOR","Jordan","2010","UpperBound",NA
"KAZ","Kazakhstan","2010","UpperBound",0.95
"KEN","Kenya","2010","UpperBound",0.95
"KIR","Kiribati","2010","UpperBound",NA
"UNK","Kosovo","2010","UpperBound",NA
"KGZ","Kyrgyzstan","2010","UpperBound",NA
"LAO","Lao People's Democratic Republic","2010","UpperBound",0.01
"LVA","Latvia","2010","UpperBound",NA
"LBN","Lebanon","2010","UpperBound",NA
"LSO","Lesotho","2010","UpperBound",0.95
"LBR","Liberia","2010","UpperBound",0.07
"LBY","Libya","2010","UpperBound",NA
"LTU","Lithuania","2010","UpperBound",NA
"LUX","Luxembourg","2010","UpperBound",NA
"MDG","Madagascar","2010","UpperBound",NA
"MWI","Malawi","2010","UpperBound",NA
"MYS","Malaysia","2010","UpperBound",0.72
"MDV","Maldives","2010","UpperBound",NA
"MLI","Mali","2010","UpperBound",0.09
"MLT","Malta","2010","UpperBound",NA
"MHL","Marshall Islands","2010","UpperBound",NA
"MRT","Mauritania","2010","UpperBound",NA
"MUS","Mauritius","2010","UpperBound",NA
"MEX","Mexico","2010","UpperBound",NA
"FSM","Micronesia (Federated States of)","2010","UpperBound",NA
"MNG","Mongolia","2010","UpperBound",NA
"MNE","Montenegro","2010","UpperBound",NA
"MAR","Morocco","2010","UpperBound",0.28
"MOZ","Mozambique","2010","UpperBound",0.42
"MMR","Myanmar","2010","UpperBound",0.02
"NAM","Namibia","2010","UpperBound",0.72
"NRU","Nauru","2010","UpperBound",NA
"NPL","Nepal","2010","UpperBound",0.04
"NLD","Netherlands","2010","UpperBound",NA
"NZL","New Zealand","2010","UpperBound",NA
"NIC","Nicaragua","2010","UpperBound",0.51
"NER","Niger","2010","UpperBound",NA
"NGA","Nigeria","2010","UpperBound",0.1
"NIU","Niue","2010","UpperBound",NA
"NOR","Norway","2010","UpperBound",NA
"OMN","Oman","2010","UpperBound",NA
"PAK","Pakistan","2010","UpperBound",0.02
"PLW","Palau","2010","UpperBound",NA
"PSE","State of Palestine","2010","UpperBound",NA
"PAN","Panama","2010","UpperBound",0.35
"PNG","Papua New Guinea","2010","UpperBound",NA
"PRY","Paraguay","2010","UpperBound",0.4
"PER","Peru","2010","UpperBound",NA
"PHL","Philippines","2010","UpperBound",0.04
"POL","Poland","2010","UpperBound",NA
"PRT","Portugal","2010","UpperBound",NA
"PRK","Republic of Korea","2010","UpperBound",NA
"MDA","Republic of Moldova","2010","UpperBound",0.95
"ROU","Romania","2010","UpperBound",NA
"RUS","Russian Federation","2010","UpperBound",NA
"RWA","Rwanda","2010","UpperBound",0.95
"KNA","Saint Kitts and Nevis","2010","UpperBound",NA
"LCA","Saint Lucia","2010","UpperBound",NA
"VCT","Saint Vincent and the Grenadines","2010","UpperBound",NA
"WSM","Samoa","2010","UpperBound",NA
"STP","Sao Tome and Principe","2010","UpperBound",NA
"SAU","Saudi Arabia","2010","UpperBound",NA
"SEN","Senegal","2010","UpperBound",0.12
"SRB","Serbia","2010","UpperBound",NA
"SYC","Seychelles","2010","UpperBound",NA
"SLE","Sierra Leone","2010","UpperBound",0.01
"SGP","Singapore","2010","UpperBound",NA
"SVK","Slovakia","2010","UpperBound",NA
"SVN","Slovenia","2010","UpperBound",NA
"SLB","Solomon Islands","2010","UpperBound",NA
"SOM","Somalia","2010","UpperBound",NA
"ZAF","South Africa","2010","UpperBound",0.88
"SSD","South Sudan","2010","UpperBound",NA
"ESP","Spain","2010","UpperBound",NA
"LKA","Sri Lanka","2010","UpperBound",NA
"SDN","Sudan","2010","UpperBound",NA
"SUR","Suriname","2010","UpperBound",0.11
"SWZ","Eswatini","2010","UpperBound",0.59
"SWE","Sweden","2010","UpperBound",NA
"CHE","Switzerland","2010","UpperBound",NA
"SYR","Syrian Arab Republic","2010","UpperBound",NA
"TJK","Tajikistan","2010","UpperBound",0.05
"THA","Thailand","2010","UpperBound",0.66
"MKD","The former Yugoslav Republic of Macedonia","2010","UpperBound",NA
"TLS","Timor-Leste","2010","UpperBound",NA
"TGO","Togo","2010","UpperBound",0.23
"TON","Tonga","2010","UpperBound",NA
"TTO","Trinidad and Tobago","2010","UpperBound",NA
"TUN","Tunisia","2010","UpperBound",NA
"TUR","Turkey","2010","UpperBound",NA
"TKM","Turkmenistan","2010","UpperBound",NA
"TUV","Tuvalu","2010","UpperBound",NA
"UGA","Uganda","2010","UpperBound",0.16
"UKR","Ukraine","2010","UpperBound",0.95
"ARE","United Arab Emirates","2010","UpperBound",NA
"GBR","United Kingdom","2010","UpperBound",NA
"TZA","United Republic of Tanzania","2010","UpperBound",0.3
"USA","United States","2010","UpperBound",NA
"URY","Uruguay","2010","UpperBound",0.73
"UZB","Uzbekistan","2010","UpperBound",0.16
"VUT","Vanuatu","2010","UpperBound",NA
"VEN","Venezuela (Bolivarian Republic of)","2010","UpperBound",NA
"VNM","Viet Nam","2010","UpperBound",NA
"YEM","Yemen","2010","UpperBound",NA
"ZMB","Zambia","2010","UpperBound",0.32
"ZWE","Zimbabwe","2010","UpperBound",0.15
"AFG","Afghanistan","2010","LowerBound",NA
"ALB","Albania","2010","LowerBound",NA
"DZA","Algeria","2010","LowerBound",NA
"AGO","Angola","2010","LowerBound",0.02
"AIA","Anguilla","2010","LowerBound",NA
"ATG","Antigua and Barbuda","2010","LowerBound",NA
"ARG","Argentina","2010","LowerBound",NA
"ARM","Armenia","2010","LowerBound",NA
"AUS","Australia","2010","LowerBound",NA
"AUT","Austria","2010","LowerBound",NA
"AZE","Azerbaijan","2010","LowerBound",0.17
"BHS","Bahamas","2010","LowerBound",NA
"BHR","Bahrain","2010","LowerBound",NA
"BGD","Bangladesh","2010","LowerBound",0.02
"BRB","Barbados","2010","LowerBound",NA
"BLR","Belarus","2010","LowerBound",0.95
"BEL","Belgium","2010","LowerBound",NA
"BLZ","Belize","2010","LowerBound",0.03
"BEN","Benin","2010","LowerBound",NA
"BTN","Bhutan","2010","LowerBound",NA
"BOL","Bolivia (Plurinational State of)","2010","LowerBound",0.34
"BIH","Bosnia and Herzegovina","2010","LowerBound",NA
"BWA","Botswana","2010","LowerBound",0.47
"BRA","Brazil","2010","LowerBound",0.19
"BRN","Brunei Darussalam","2010","LowerBound",NA
"BGR","Bulgaria","2010","LowerBound",NA
"BFA","Burkina Faso","2010","LowerBound",0.07
"BDI","Burundi","2010","LowerBound",0.08
"CPV","Cabo Verde","2010","LowerBound",0.87
"KHM","Cambodia","2010","LowerBound",0.39
"CMR","Cameroon","2010","LowerBound",0.16
"CAN","Canada","2010","LowerBound",NA
"CAF","Central African Republic","2010","LowerBound",0.01
"TCD","Chad","2010","LowerBound",0.03
"CHL","Chile","2010","LowerBound",NA
"CHN","China","2010","LowerBound",NA
"COL","Colombia","2010","LowerBound",0.08
"COM","Comoros","2010","LowerBound",NA
"COG","Congo","2010","LowerBound",0.05
"COK","Cook Islands","2010","LowerBound",NA
"CRI","Costa Rica","2010","LowerBound",0.61
"CIV","C̫te d'Ivoire","2010","LowerBound",0.15
"HRV","Croatia","2010","LowerBound",NA
"CUB","Cuba","2010","LowerBound",0.85
"CYP","Cyprus","2010","LowerBound",NA
"CZE","Czech Republic","2010","LowerBound",NA
"KOR","Democratic People's Republic of Korea","2010","LowerBound",NA
"COD","Democratic Republic of the Congo","2010","LowerBound",0.02
"DNK","Denmark","2010","LowerBound",NA
"DJI","Djibouti","2010","LowerBound",NA
"DMA","Dominica","2010","LowerBound",NA
"DOM","Dominican Republic","2010","LowerBound",0.08
"ECU","Ecuador","2010","LowerBound",0
"EGY","Egypt","2010","LowerBound",0.04
"SLV","El Salvador","2010","LowerBound",0.25
"GNQ","Equatorial Guinea","2010","LowerBound",NA
"ERI","Eritrea","2010","LowerBound",NA
"EST","Estonia","2010","LowerBound",NA
"ETH","Ethiopia","2010","LowerBound",0.3
"FJI","Fiji","2010","LowerBound",NA
"FIN","Finland","2010","LowerBound",NA
"FRA","France","2010","LowerBound",NA
"GAB","Gabon","2010","LowerBound",0.05
"GMB","Gambia","2010","LowerBound",NA
"GEO","Georgia","2010","LowerBound",0.66
"DEU","Germany","2010","LowerBound",NA
"GHA","Ghana","2010","LowerBound",0.01
"GRC","Greece","2010","LowerBound",NA
"GRD","Grenada","2010","LowerBound",NA
"GTM","Guatemala","2010","LowerBound",NA
"GIN","Guinea","2010","LowerBound",0.04
"GNB","Guinea-Bissau","2010","LowerBound",NA
"GUY","Guyana","2010","LowerBound",0.24
"HTI","Haiti","2010","LowerBound",NA
"HND","Honduras","2010","LowerBound",0.59
"HUN","Hungary","2010","LowerBound",NA
"ISL","Iceland","2010","LowerBound",NA
"IND","India","2010","LowerBound",0.04
"IDN","Indonesia","2010","LowerBound",NA
"IRN","Iran (Islamic Republic of)","2010","LowerBound",0.09
"IRQ","Iraq","2010","LowerBound",NA
"IRL","Ireland","2010","LowerBound",NA
"ISR","Israel","2010","LowerBound",NA
"ITA","Italy","2010","LowerBound",NA
"JAM","Jamaica","2010","LowerBound",NA
"JPN","Japan","2010","LowerBound",NA
"JOR","Jordan","2010","LowerBound",NA
"KAZ","Kazakhstan","2010","LowerBound",0.95
"KEN","Kenya","2010","LowerBound",0.63
"KIR","Kiribati","2010","LowerBound",NA
"UNK","Kosovo","2010","LowerBound",NA
"KGZ","Kyrgyzstan","2010","LowerBound",NA
"LAO","Lao People's Democratic Republic","2010","LowerBound",0.01
"LVA","Latvia","2010","LowerBound",NA
"LBN","Lebanon","2010","LowerBound",NA
"LSO","Lesotho","2010","LowerBound",0.88
"LBR","Liberia","2010","LowerBound",0.04
"LBY","Libya","2010","LowerBound",NA
"LTU","Lithuania","2010","LowerBound",NA
"LUX","Luxembourg","2010","LowerBound",NA
"MDG","Madagascar","2010","LowerBound",NA
"MWI","Malawi","2010","LowerBound",NA
"MYS","Malaysia","2010","LowerBound",0.52
"MDV","Maldives","2010","LowerBound",NA
"MLI","Mali","2010","LowerBound",0.07
"MLT","Malta","2010","LowerBound",NA
"MHL","Marshall Islands","2010","LowerBound",NA
"MRT","Mauritania","2010","LowerBound",NA
"MUS","Mauritius","2010","LowerBound",NA
"MEX","Mexico","2010","LowerBound",NA
"FSM","Micronesia (Federated States of)","2010","LowerBound",NA
"MNG","Mongolia","2010","LowerBound",NA
"MNE","Montenegro","2010","LowerBound",NA
"MAR","Morocco","2010","LowerBound",0.17
"MOZ","Mozambique","2010","LowerBound",0.25
"MMR","Myanmar","2010","LowerBound",0.01
"NAM","Namibia","2010","LowerBound",0.5
"NRU","Nauru","2010","LowerBound",NA
"NPL","Nepal","2010","LowerBound",0.03
"NLD","Netherlands","2010","LowerBound",NA
"NZL","New Zealand","2010","LowerBound",NA
"NIC","Nicaragua","2010","LowerBound",0.25
"NER","Niger","2010","LowerBound",NA
"NGA","Nigeria","2010","LowerBound",0.04
"NIU","Niue","2010","LowerBound",NA
"NOR","Norway","2010","LowerBound",NA
"OMN","Oman","2010","LowerBound",NA
"PAK","Pakistan","2010","LowerBound",0.01
"PLW","Palau","2010","LowerBound",NA
"PSE","State of Palestine","2010","LowerBound",NA
"PAN","Panama","2010","LowerBound",0.27
"PNG","Papua New Guinea","2010","LowerBound",NA
"PRY","Paraguay","2010","LowerBound",0.17
"PER","Peru","2010","LowerBound",NA
"PHL","Philippines","2010","LowerBound",0.03
"POL","Poland","2010","LowerBound",NA
"PRT","Portugal","2010","LowerBound",NA
"PRK","Republic of Korea","2010","LowerBound",NA
"MDA","Republic of Moldova","2010","LowerBound",0.95
"ROU","Romania","2010","LowerBound",NA
"RUS","Russian Federation","2010","LowerBound",NA
"RWA","Rwanda","2010","LowerBound",0.63
"KNA","Saint Kitts and Nevis","2010","LowerBound",NA
"LCA","Saint Lucia","2010","LowerBound",NA
"VCT","Saint Vincent and the Grenadines","2010","LowerBound",NA
"WSM","Samoa","2010","LowerBound",NA
"STP","Sao Tome and Principe","2010","LowerBound",NA
"SAU","Saudi Arabia","2010","LowerBound",NA
"SEN","Senegal","2010","LowerBound",0.09
"SRB","Serbia","2010","LowerBound",NA
"SYC","Seychelles","2010","LowerBound",NA
"SLE","Sierra Leone","2010","LowerBound",0
"SGP","Singapore","2010","LowerBound",NA
"SVK","Slovakia","2010","LowerBound",NA
"SVN","Slovenia","2010","LowerBound",NA
"SLB","Solomon Islands","2010","LowerBound",NA
"SOM","Somalia","2010","LowerBound",NA
"ZAF","South Africa","2010","LowerBound",0.56
"SSD","South Sudan","2010","LowerBound",NA
"ESP","Spain","2010","LowerBound",NA
"LKA","Sri Lanka","2010","LowerBound",NA
"SDN","Sudan","2010","LowerBound",NA
"SUR","Suriname","2010","LowerBound",0.07
"SWZ","Eswatini","2010","LowerBound",0.45
"SWE","Sweden","2010","LowerBound",NA
"CHE","Switzerland","2010","LowerBound",NA
"SYR","Syrian Arab Republic","2010","LowerBound",NA
"TJK","Tajikistan","2010","LowerBound",0.03
"THA","Thailand","2010","LowerBound",0.46
"MKD","The former Yugoslav Republic of Macedonia","2010","LowerBound",NA
"TLS","Timor-Leste","2010","LowerBound",NA
"TGO","Togo","2010","LowerBound",0.1
"TON","Tonga","2010","LowerBound",NA
"TTO","Trinidad and Tobago","2010","LowerBound",NA
"TUN","Tunisia","2010","LowerBound",NA
"TUR","Turkey","2010","LowerBound",NA
"TKM","Turkmenistan","2010","LowerBound",NA
"TUV","Tuvalu","2010","LowerBound",NA
"UGA","Uganda","2010","LowerBound",0.11
"UKR","Ukraine","2010","LowerBound",0.86
"ARE","United Arab Emirates","2010","LowerBound",NA
"GBR","United Kingdom","2010","LowerBound",NA
"TZA","United Republic of Tanzania","2010","LowerBound",0.2
"USA","United States","2010","LowerBound",NA
"URY","Uruguay","2010","LowerBound",0.54
"UZB","Uzbekistan","2010","LowerBound",0.09
"VUT","Vanuatu","2010","LowerBound",NA
"VEN","Venezuela (Bolivarian Republic of)","2010","LowerBound",NA
"VNM","Viet Nam","2010","LowerBound",NA
"YEM","Yemen","2010","LowerBound",NA
"ZMB","Zambia","2010","LowerBound",0.24
"ZWE","Zimbabwe","2010","LowerBound",0.1
